#Volume(Ang^3) E(kJ/mol) E_fit(kJ/mol) 
337.508473 -813847.161824 -813847.058865
333.654574 -813849.994612 -813849.978941
329.953023 -813852.458241 -813852.491275
326.636487 -813854.403737 -813854.475412
324.218483 -813855.683014 -813855.749912
322.013479 -813856.723857 -813856.777014
319.822761 -813857.643200 -813857.662435
317.983981 -813858.269130 -813858.296280
315.871534 -813858.868864 -813858.894981
314.104269 -813859.276290 -813859.284450
312.356311 -813859.544563 -813859.565203
310.728547 -813859.744352 -813859.729299
309.080125 -813859.847803 -813859.795878
307.318402 -813859.830853 -813859.751697
306.281361 -813859.705463 -813859.667969
303.495814 -813859.267875 -813859.221729
302.172377 -813858.918908 -813858.891989
300.758502 -813858.462832 -813858.452218
299.511364 -813857.982560 -813857.986897
298.028332 -813857.383119 -813857.335998
296.810965 -813856.747592 -813856.720002
295.586040 -813856.042554 -813856.023523
294.405260 -813855.299622 -813855.277268
293.256162 -813854.470581 -813854.478484
292.149370 -813853.630421 -813853.639616
288.952715 -813850.783039 -813850.817256
286.951332 -813848.688448 -813848.732906
284.177966 -813845.341937 -813845.414966
282.381583 -813842.960066 -813842.985642
278.187125 -813836.356966 -813836.395284
274.681372 -813829.823244 -813829.825470
271.167453 -813822.221461 -813822.182714
267.537387 -813813.104507 -813813.079965
